Start Date,End Date,Duration(Days),Main Cause,Districts,State,Human fatality,Human injured,Human Displaced,Description of Casualties/injured,Extent of damage 
05-10-2022 00:00,05-10-2022 00:00,1,Heavy Rains,Amravati,Maharashtra,,,,,
05-10-2022 00:00,05-10-2022 00:00,1,Heavy Rains,Nagpur ,Maharashtra,1,,,,
06-10-2022 00:00,08-10-2022 00:00,3,Heavy Rains,Washim,Maharashtra,,,,,
06-10-2022 00:00,08-10-2022 00:00,3,Heavy Rains,Yavatmal ,Maharashtra,,,,,
10-10-2022 00:00,14-10-2022 00:00,3,Heavy Rains,Washim,Maharashtra,,,,,
17-10-2022 00:00,19-10-2022 00:00,3,Heavy Rains,"Akola,",Maharashtra,,,,,
17-10-2022 00:00,19-10-2022 00:00,3,Heavy Rains, Aurangabad,Maharashtra,,,,,
17-10-2022 00:00,19-10-2022 00:00,3,Heavy Rains,"Beed, ",Maharashtra,,,,,
17-10-2022 00:00,19-10-2022 00:00,3,Heavy Rains,Buldhana,Maharashtra,,,,,
17-10-2022 00:00,19-10-2022 00:00,3,Heavy Rains,Gondia,Maharashtra,,,,,
17-10-2022 00:00,19-10-2022 00:00,3,Heavy Rains,Jalna,Maharashtra,,,,,
17-10-2022 00:00,19-10-2022 00:00,3,Heavy Rains,Latur,Maharashtra,,,,,
17-10-2022 00:00,19-10-2022 00:00,3,Heavy Rains,Nanded,Maharashtra,,,,,
17-10-2022 00:00,19-10-2022 00:00,3,Heavy Rains,Nashik,Maharashtra,,,,,
17-10-2022 00:00,19-10-2022 00:00,3,Heavy Rains,Dharashiv,Maharashtra,,,,,
17-10-2022 00:00,19-10-2022 00:00,3,Heavy Rains,Parbhani,Maharashtra,,,,,
17-10-2022 00:00,19-10-2022 00:00,3,Heavy Rains,Pune ,Maharashtra,2,1,,,
17-10-2022 00:00,19-10-2022 00:00,3,Heavy Rains,Sindhudurg,Maharashtra,,,,,
17-10-2022 00:00,19-10-2022 00:00,3,Heavy Rains,Washim,Maharashtra,,,,,
20-10-2022 00:00,20-10-2022 00:00,1,Heavy Rains & Floods,Ahmednagar,Maharashtra,,,,,
20-10-2022 00:00,20-10-2022 00:00,1,Heavy Rains & Floods,Beed,Maharashtra,3,,,,
20-10-2022 00:00,20-10-2022 00:00,1,Heavy Rains & Floods,Nashik,Maharashtra,,,,,
20-10-2022 00:00,20-10-2022 00:00,1,Heavy Rains & Floods,Washim,Maharashtra,,,,,
14-03-2023 00:00,17-03-2023 00:00,4,Unseasonal Heavy Rains,Aurangabad,Maharashtra,,23,,,
14-03-2023 00:00,17-03-2023 00:00,4,Unseasonal Heavy Rains,Latur,Maharashtra,,,,,
14-03-2023 00:00,17-03-2023 00:00,4,Unseasonal Heavy Rains,Nashik,Maharashtra,,,,,
14-03-2023 00:00,17-03-2023 00:00,4,Unseasonal Heavy Rains,Nanded,Maharashtra,,,,,
14-03-2023 00:00,17-03-2023 00:00,4,Unseasonal Heavy Rains,Parbhani,Maharashtra,,,,,
14-03-2023 00:00,17-03-2023 00:00,4,Unseasonal Heavy Rains,Pune,Maharashtra,,,,,
19-03-2023 00:00,19-03-2023 00:00,1,Unseasonal Heavy Rains,Buldhana,Maharashtra,,,,,
19-03-2023 00:00,19-03-2023 00:00,1,Unseasonal Heavy Rains,Jalgaon,Maharashtra,,,,,
19-03-2023 00:00,19-03-2023 00:00,1,Unseasonal Heavy Rains,Satara,Maharashtra,,,,,
07-04-2023 00:00,07-04-2023 00:00,1,Heavy Rains,Ahmednagar,Maharashtra,,,,,
07-04-2023 00:00,07-04-2023 00:00,1,Heavy Rains,Akola,Maharashtra,,,,,
07-04-2023 00:00,07-04-2023 00:00,1,Heavy Rains,Amravati,Maharashtra,,,,,
07-04-2023 00:00,07-04-2023 00:00,1,Heavy Rains,Jalgaon,Maharashtra,,,,,
07-04-2023 00:00,07-04-2023 00:00,1,Heavy Rains,Kolhapur,Maharashtra,,,,,
07-04-2023 00:00,07-04-2023 00:00,1,Heavy Rains,Nagpur,Maharashtra,,,,,
07-04-2023 00:00,07-04-2023 00:00,1,Heavy Rains,Sangli,Maharashtra,,,,,
07-04-2023 00:00,07-04-2023 00:00,1,Heavy Rains,Satara,Maharashtra,,,,,
07-04-2023 00:00,07-04-2023 00:00,1,Heavy Rains,Solapur,Maharashtra,,,,,
07-04-2023 00:00,07-04-2023 00:00,1,Heavy Rains,Yavatmal,Maharashtra,,,,,
09-04-2023 00:00,09-04-2023 00:00,1,Flash floods triggered by torrential rain,Nashik,Maharashtra,1,,,,
09-04-2023 00:00,10-04-2023 00:00,2,Heavy Rains,Ahmednagar,Maharashtra,,,,,
09-04-2023 00:00,10-04-2023 00:00,2,Heavy Rains,Akola,Maharashtra,,,,,
09-04-2023 00:00,10-04-2023 00:00,2,Heavy Rains,Jalgaon,Maharashtra,,1,,,
09-04-2023 00:00,10-04-2023 00:00,2,Heavy Rains,Latur,Maharashtra,,,,,
09-04-2023 00:00,10-04-2023 00:00,2,Heavy Rains,Pune,Maharashtra,,,,,
15-04-2023 00:00,15-04-2023 00:00,1,Heavy Rains,Pune,Maharashtra,,,,,
28-04-2023 00:00,28-04-2023 00:00,1,Heavy Rain,Nanded ,Maharashtra,1,10,,,
24-06-2023 00:00,24-06-2023 00:00,1,Heavy Rains,Thane,Maharashtra,,3,,,
25-06-2023 00:00,26-06-2023 00:00,2,Heavy Rains,Mumbai,Maharashtra,,4,,,
25-06-2023 00:00,26-06-2023 00:00,2,Heavy Rains,Mumbai Suburban,Maharashtra,,,,,
28-06-2023 00:00,28-06-2023 00:00,1,Heavy Rains & Floods,Mumbai,Maharashtra,2,,,,
28-06-2023 00:00,28-06-2023 00:00,1,Heavy Rains & Floods,Mumbai Suburban,Maharashtra,2,,,,
28-06-2023 00:00,28-06-2023 00:00,1,Heavy Rains & Floods,Palghar,Maharashtra,1,,,,
28-06-2023 00:00,28-06-2023 00:00,1,Heavy Rains & Floods,Thane,Maharashtra,1,1,,,
29-06-2023 00:00,29-06-2023 00:00,1,Heavy Rains,Mumbai,Maharashtra,1,5,,,
,,,e-mail on 4th July 2023 by Dr,Raigarh ,Maharashtra,,,,,
12-07-2023 00:00,12-07-2023 00:00,1,Heavy Rains & Floods,Akola,Maharashtra,1,,,,
18-07-2023 00:00,18-07-2023 00:00,1,Heavy Rains & Floods,Chandrapur,Maharashtra,,,,,
18-07-2023 00:00,18-07-2023 00:00,1,Heavy Rains & Floods,Gadchiroli,Maharashtra,,,,,
19-07-2023 00:00,19-07-2023 00:00,1,Heavy Rains & Floods,"Akola, ",Maharashtra,,,,,
19-07-2023 00:00,19-07-2023 00:00,1,Heavy Rains & Floods,Amravati,Maharashtra,,,,,
19-07-2023 00:00,19-07-2023 00:00,1,Heavy Rains & Floods,Buldhana,Maharashtra,1,1,,,
19-07-2023 00:00,19-07-2023 00:00,1,Heavy Rains & Floods,Chandrapur,Maharashtra,,,,,
19-07-2023 00:00,19-07-2023 00:00,1,Heavy Rains & Floods,Gadchiroli,Maharashtra,1,,,,
19-07-2023 00:00,19-07-2023 00:00,1,Heavy Rains & Floods,Mumbai,Maharashtra,,,,,
19-07-2023 00:00,19-07-2023 00:00,1,Heavy Rains & Floods,Palghar,Maharashtra,,,,,
19-07-2023 00:00,19-07-2023 00:00,1,Heavy Rains & Floods,Ratnagiri,Maharashtra,,,,,
19-07-2023 00:00,19-07-2023 00:00,1,Heavy Rains & Floods,Thane,Maharashtra,1,,,,
19-07-2023 00:00,19-07-2023 00:00,1,Heavy Rains & Floods,Washim,Maharashtra,1,,,,
19-07-2023 00:00,19-07-2023 00:00,1,Massive Landslide,Raigarh,Maharashtra,27,,57,,
20-07-2023 00:00,20-07-2023 00:00,1,Heavy Rains & Floods,Mumbai,Maharashtra,,,,,
20-07-2023 00:00,20-07-2023 00:00,1,Heavy Rains & Floods,Mumbai Suburban,Maharashtra,1,,,,
20-07-2023 00:00,20-07-2023 00:00,1,Heavy Rains & Floods,Thane,Maharashtra,1,4,,,
21-07-2023 00:00,22-07-2023 00:00,2,Heavy Rains & Floods,Akola,Maharashtra,1,,,,
21-07-2023 00:00,22-07-2023 00:00,2,Heavy Rains & Floods,Amravati,Maharashtra,3,,,,
21-07-2023 00:00,22-07-2023 00:00,2,Heavy Rains & Floods,Buldhana,Maharashtra,1,,,,
21-07-2023 00:00,22-07-2023 00:00,2,Heavy Rains & Floods,Gadchiroli,Maharashtra,,,,,
21-07-2023 00:00,22-07-2023 00:00,2,Heavy Rains & Floods,Gondia,Maharashtra,,,,,
21-07-2023 00:00,22-07-2023 00:00,2,Heavy Rains & Floods,Thane,Maharashtra,1,,,,
21-07-2023 00:00,22-07-2023 00:00,2,Heavy Rains & Floods,Wardha,Maharashtra,1,,,,
21-07-2023 00:00,22-07-2023 00:00,2,Heavy Rains & Floods,Washim,Maharashtra,,,,,
21-07-2023 00:00,22-07-2023 00:00,2,Heavy Rains & Floods,Yavatmal ,Maharashtra,4,,,,
23-07-2023 00:00,23-07-2023 00:00,1,Heavy Rains & Floods ,Akola,Maharashtra,,,,,
23-07-2023 00:00,23-07-2023 00:00,1,Heavy Rains & Floods ,Amravati,Maharashtra,,,,,
23-07-2023 00:00,23-07-2023 00:00,1,Heavy Rains & Floods ,Buldhana,Maharashtra,,,,,
23-07-2023 00:00,23-07-2023 00:00,1,Heavy Rains & Floods ,Chandrapur,Maharashtra,,,,,
26-07-2023 00:00,26-07-2023 00:00,1,Heavy Rains & Floods,Ratnagiri,Maharashtra,1,,,,
27-07-2023 00:00,27-07-2023 00:00,1,Heavy Rains & Floods,Amravati,Maharashtra,,,,,
27-07-2023 00:00,27-07-2023 00:00,1,Heavy Rains & Floods,Buldhana,Maharashtra,1,,,,
27-07-2023 00:00,27-07-2023 00:00,1,Heavy Rains & Floods,Kolhapur,Maharashtra,1,,,,
27-07-2023 00:00,27-07-2023 00:00,1,Heavy Rains & Floods,Nagpur,Maharashtra,2,,,,
27-07-2023 00:00,27-07-2023 00:00,1,Heavy Rains & Floods,Nanded,Maharashtra,2,,,,
27-07-2023 00:00,27-07-2023 00:00,1,Heavy Rains & Floods,Sindhudurg,Maharashtra,1,,,,
27-07-2023 00:00,27-07-2023 00:00,1,Heavy Rains & Floods,Thane,Maharashtra,2,,,,
27-07-2023 00:00,27-07-2023 00:00,1,Heavy Rains & Floods,Wardha,Maharashtra,,,,,
19-08-2023 00:00,19-08-2023 00:00,1,Heavy Rains,Gondia,Maharashtra,1,,,,
09-09-2023 00:00,09-09-2023 00:00,1,Heavy rains,Chandrapur,Maharashtra,1,,,,
